Employee_ID,Employee_Name,Employee_Salary,Employee_Working_Hours,Employee_Phone_Number
1,Ada ga Chuck,"$20,000.00",9:00 AM - 5:00PM,(220) 932-0137
2,Anderson,"$25,000.00",5:00 AM - 1:00AM,(148) 483-5830
3,Benetio David,"$15,000.00",9:00 AM - 5:00PM,(267) 131-0410
4,Boockman Susie,"$18,000.00",1:00 AM - 9:00AM,(494) 211-3403
5,Volke Clara,"$14,000.00",9:00 AM - 5:00PM,(721) 159-4858
6,Ukropina Sam,"$18,000.00",5:00 AM - 1:00AM,(878) 304-0219
7,Thomas Evan,"$29,000.00",1:00 AM - 9:00AM,(667) 324-9900
8,Strom Otto,"$30,000.00",9:00 AM - 5:00PM,(355) 171-5438
9,Steffen John,"$35,000.00",5:00 AM - 1:00AM,(304) 817-3010
10,Shafer Jubuis,"$28,900.00",9:00 AM - 5:00PM,(888) 357-0919
